LOCALITY,FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE,MILITARY_ISSUED,OVERSEAS_ISSUED,TEMPORARY_ISSUED,COUNTABLE_HIGH_PROP_NG,COUNTABLE_MED_PROP_NG,COUNTABLE_ZERO_PROP_NG
Fairfax City,31-Oct-2025 05:00:02,620,0,3,197,253,3106,800,0,1053,4162,47,119,0,22,33,0,18,78,0,2990,1076,96
Fairfax City,01-Nov-2025 05:00:02,598,0,10,200,273,3459,800,0,1073,4542,54,119,0,29,33,0,18,78,0,3200,1233,109
Fairfax City,02-Nov-2025 05:00:01,565,0,15,210,42,4015,1056,0,1098,5128,59,119,0,34,33,0,18,78,0,3507,1491,130
Fairfax City,03-Nov-2025 05:00:02,564,0,15,210,43,4015,1056,0,1099,5129,59,119,0,34,33,0,18,78,0,3508,1491,130
Fairfax City,04-Nov-2025 05:00:01,506,0,15,210,98,4016,1056,0,1154,5185,59,119,0,34,38,0,18,72,0,3533,1519,133
Fairfax City,05-Nov-2025 05:00:02,472,0,15,210,131,4016,1056,0,1187,5218,59,119,0,34,40,0,18,70,0,3541,1544,133
Fairfax City,06-Nov-2025 05:00:02,472,0,15,210,131,4016,1056,0,1187,5218,59,119,0,34,40,0,18,70,0,3541,1544,133
Fairfax City,07-Nov-2025 05:00:02,414,0,15,210,188,4016,1056,0,1244,5275,59,119,0,34,41,0,18,69,0,3559,1578,138
Fairfax City,08-Nov-2025 05:00:01,407,0,15,210,191,4016,1056,0,1247,5278,59,119,0,34,41,0,18,69,0,3560,1580,138
Fairfax City,09-Nov-2025 05:00:02,407,0,15,210,191,4016,1056,0,1247,5278,59,119,0,34,41,0,18,69,0,3560,1580,138
Fairfax City,10-Nov-2025 05:00:02,407,0,15,210,191,4016,1056,0,1247,5278,59,119,0,34,41,0,18,69,0,3560,1580,138
Fairfax County,17-Sep-2025 22:01:55,4466,69102,0,976,0,0,0,0,0,0,1722,4134,0,0,0,0,791,3347,0,0,0,0
Fairfax County,18-Sep-2025 05:00:02,4466,69352,0,1042,0,0,0,0,0,0,1729,4137,0,0,0,0,791,3346,0,0,0,0
Fairfax County,19-Sep-2025 05:00:02,4467,69481,0,1079,0,0,0,0,0,0,1732,4142,0,0,0,0,791,3349,0,0,0,0
Fairfax County,20-Sep-2025 05:00:01,74525,10,0,1215,0,2432,0,0,0,2432,1753,4158,0,13,4,0,1665,4080,0,2032,371,29
Fairfax County,21-Sep-2025 05:00:03,74669,10,0,1292,0,4464,0,0,0,4464,1778,4158,0,37,8,0,1664,4071,0,3613,777,74
Fairfax County,22-Sep-2025 05:00:02,74667,10,0,1294,0,4464,0,0,0,4464,1778,4158,0,37,8,0,1664,4071,0,3613,777,74
Fairfax County,23-Sep-2025 05:00:01,75332,10,0,1397,0,6210,0,0,0,6210,1783,4189,0,43,14,0,1662,4085,0,5107,1011,92
Fairfax County,24-Sep-2025 05:00:01,75536,11,0,1498,0,7940,0,0,0,7940,1803,4196,0,57,12,0,1668,4093,0,6574,1253,113
Fairfax County,25-Sep-2025 05:00:02,75894,0,0,1578,0,9346,4,0,4,9350,1817,4209,0,69,18,0,1667,4096,0,7778,1438,134
Fairfax County,26-Sep-2025 05:00:02,76074,1,0,1653,0,10710,94,0,94,10804,1832,4221,0,81,25,0,1669,4098,0,8997,1656,151
